Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 4 [38400/49000 (78%)]	Train Loss: 2.173610	Val Loss: 2.048757	Val Acc: 34.29999923706055
Train Epoch: 4 [40960/49000 (83%)]	Train Loss: 2.040957	Val Loss: 2.108902	Val Acc: 33.099998474121094
Train Epoch: 4 [43520/49000 (89%)]	Train Loss: 1.914828	Val Loss: 1.982727	Val Acc: 33.5
Train Epoch: 4 [46080/49000 (94%)]	Train Loss: 2.026635	Val Loss: 2.172173	Val Acc: 32.400001525878906
Train Epoch: 4 [48640/49000 (99%)]	Train Loss: 1.945625	Val Loss: 2.033295	Val Acc: 34.099998474121094
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 1.949006	Val Loss: 2.075520	Val Acc: 34.29999923706055
Train Epoch: 5 [2560/49000 (5%)]	Train Loss: 2.126456	Val Loss: 2.029479	Val Acc: 35.20000076293945
Train Epoch: 5 [5120/49000 (10%)]	Train Loss: 2.050066	Val Loss: 2.079456	Val Acc: 32.79999923706055
Train Epoch: 5 [7680/49000 (16%)]	Train Loss: 2.041978	Val Loss: 2.146859	Val Acc: 32.5
Train Epoch: 5 [10240/49000 (21%)]	Train Loss: 1.912096	Val Loss: 2.082506	Val Acc: 32.599998474121094
Train Epoch: 5 [12800/49000 (26%)]	Train Loss: 2.132703	Val Loss: 2.189604	Val Acc: 32.29999923706055
Train Epoch: 5 [15360/49000 (31%)]	Train Loss: 2.066753	Val Loss: 2.142235	Val Acc: 33.79999923706055
Train Epoch: 5 [17920/49000 (36%)]	Train Loss: 2.097189	Val Loss: 2.133094	Val Acc: 32.70000076293945
Train Epoch: 5 [20480/49000 (42%)]	Train Loss: 2.110867	Val Loss: 2.100788	Val Acc: 34.400001525878906
Train Epoch: 5 [23040/49000 (47%)]	Train Loss: 1.833339	Val Loss: 1.982431	Val Acc: 33.29999923706055
Train Epoch: 5 [25600/49000 (52%)]	Train Loss: 1.989218	Val Loss: 2.025013	Val Acc: 34.29999923706055
Train Epoch: 5 [28160/49000 (57%)]	Train Loss: 1.928926	Val Loss: 2.106221	Val Acc: 35.599998474121094
Train Epoch: 5 [30720/49000 (62%)]	Train Loss: 1.979050	Val Loss: 2.226469	Val Acc: 33.099998474121094
Train Epoch: 5 [33280/49000 (68%)]	Train Loss: 1.960949	Val Loss: 2.016475	Val Acc: 33.29999923706055
Train Epoch: 5 [35840/49000 (73%)]	Train Loss: 1.898340	Val Loss: 2.191760	Val Acc: 33.099998474121094
Train Epoch: 5 [38400/49000 (78%)]	Train Loss: 1.976615	Val Loss: 2.057321	Val Acc: 34.5
Train Epoch: 5 [40960/49000 (83%)]	Train Loss: 2.070743	Val Loss: 2.084287	Val Acc: 33.5
Train Epoch: 5 [43520/49000 (89%)]	Train Loss: 2.193846	Val Loss: 1.973068	Val Acc: 36.099998474121094
Train Epoch: 5 [46080/49000 (94%)]	Train Loss: 2.043956	Val Loss: 2.050931	Val Acc: 33.79999923706055
Train Epoch: 5 [48640/49000 (99%)]	Train Loss: 2.035052	Val Loss: 2.068632	Val Acc: 35.70000076293945
Train Epoch: 6 [0/49000 (0%)]	Train Loss: 1.898891	Val Loss: 2.161572	Val Acc: 32.70000076293945
Train Epoch: 6 [2560/49000 (5%)]	Train Loss: 1.838304	Val Loss: 2.046015	Val Acc: 35.5
Train Epoch: 6 [5120/49000 (10%)]	Train Loss: 2.021080	Val Loss: 2.085058	Val Acc: 33.400001525878906
Train Epoch: 6 [7680/49000 (16%)]	Train Loss: 2.028613	Val Loss: 2.017298	Val Acc: 35.099998474121094
Train Epoch: 6 [10240/49000 (21%)]	Train Loss: 2.078555	Val Loss: 2.162503	Val Acc: 32.0
Train Epoch: 6 [12800/49000 (26%)]	Train Loss: 1.819577	Val Loss: 2.059189	Val Acc: 36.0
Train Epoch: 6 [15360/49000 (31%)]	Train Loss: 1.895023	Val Loss: 2.107352	Val Acc: 35.0
Train Epoch: 6 [17920/49000 (36%)]	Train Loss: 1.813795	Val Loss: 2.010430	Val Acc: 35.400001525878906
Train Epoch: 6 [20480/49000 (42%)]	Train Loss: 2.221759	Val Loss: 1.971223	Val Acc: 33.20000076293945
Train Epoch: 6 [23040/49000 (47%)]	Train Loss: 1.988359	Val Loss: 2.127696	Val Acc: 31.100000381469727
Train Epoch: 6 [25600/49000 (52%)]	Train Loss: 2.272948	Val Loss: 2.174896	Val Acc: 31.600000381469727
Train Epoch: 6 [28160/49000 (57%)]	Train Loss: 2.057568	Val Loss: 2.162806	Val Acc: 31.700000762939453
Train Epoch: 6 [30720/49000 (62%)]	Train Loss: 1.882253	Val Loss: 2.107720	Val Acc: 33.599998474121094
Train Epoch: 6 [33280/49000 (68%)]	Train Loss: 2.001491	Val Loss: 2.152149	Val Acc: 33.900001525878906
Train Epoch: 6 [35840/49000 (73%)]	Train Loss: 2.000559	Val Loss: 2.110828	Val Acc: 33.70000076293945
Train Epoch: 6 [38400/49000 (78%)]	Train Loss: 1.847133	Val Loss: 2.128436	Val Acc: 34.70000076293945
Train Epoch: 6 [40960/49000 (83%)]	Train Loss: 2.060822	Val Loss: 2.270498	Val Acc: 31.5
Train Epoch: 6 [43520/49000 (89%)]	Train Loss: 2.052409	Val Loss: 2.142825	Val Acc: 33.900001525878906
Train Epoch: 6 [46080/49000 (94%)]	Train Loss: 2.155807	Val Loss: 2.037776	Val Acc: 33.900001525878906
Train Epoch: 6 [48640/49000 (99%)]	Train Loss: 1.832737	Val Loss: 2.080782	Val Acc: 35.79999923706055
Train Epoch: 7 [0/49000 (0%)]	Train Loss: 1.857917	Val Loss: 2.064346	Val Acc: 34.099998474121094
Train Epoch: 7 [2560/49000 (5%)]	Train Loss: 1.959297	Val Loss: 2.059907	Val Acc: 33.599998474121094
Train Epoch: 7 [5120/49000 (10%)]	Train Loss: 1.855767	Val Loss: 2.003744	Val Acc: 36.0
Train Epoch: 7 [7680/49000 (16%)]	Train Loss: 1.884727	Val Loss: 2.212462	Val Acc: 31.899999618530273
Train Epoch: 7 [10240/49000 (21%)]	Train Loss: 2.004417	Val Loss: 2.180114	Val Acc: 33.79999923706055
Train Epoch: 7 [12800/49000 (26%)]	Train Loss: 2.050092	Val Loss: 2.046788	Val Acc: 34.400001525878906
Train Epoch: 7 [15360/49000 (31%)]	Train Loss: 1.958953	Val Loss: 1.991493	Val Acc: 36.400001525878906
Train Epoch: 7 [17920/49000 (36%)]	Train Loss: 1.800906	Val Loss: 2.006491	Val Acc: 34.400001525878906
Train Epoch: 7 [20480/49000 (42%)]	Train Loss: 2.013139	Val Loss: 1.988959	Val Acc: 34.0
Train Epoch: 7 [23040/49000 (47%)]	Train Loss: 2.048648	Val Loss: 2.147774	Val Acc: 33.400001525878906
Train Epoch: 7 [25600/49000 (52%)]	Train Loss: 1.955217	Val Loss: 2.032815	Val Acc: 34.29999923706055
Train Epoch: 7 [28160/49000 (57%)]	Train Loss: 1.963997	Val Loss: 1.965808	Val Acc: 37.400001525878906
Train Epoch: 7 [30720/49000 (62%)]	Train Loss: 1.845381	Val Loss: 1.989014	Val Acc: 32.70000076293945
Train Epoch: 7 [33280/49000 (68%)]	Train Loss: 1.866129	Val Loss: 1.923328	Val Acc: 35.900001525878906
Train Epoch: 7 [35840/49000 (73%)]	Train Loss: 2.069858	Val Loss: 1.986965	Val Acc: 35.599998474121094
Train Epoch: 7 [38400/49000 (78%)]	Train Loss: 2.041854	Val Loss: 2.042406	Val Acc: 34.599998474121094
Train Epoch: 7 [40960/49000 (83%)]	Train Loss: 1.932447	Val Loss: 2.163133	Val Acc: 34.0
Train Epoch: 7 [43520/49000 (89%)]	Train Loss: 2.021039	Val Loss: 2.131112	Val Acc: 35.099998474121094
Train Epoch: 7 [46080/49000 (94%)]	Train Loss: 1.991751	Val Loss: 2.023952	Val Acc: 35.900001525878906
Train Epoch: 7 [48640/49000 (99%)]	Train Loss: 1.968867	Val Loss: 2.007572	Val Acc: 33.400001525878906
Train Epoch: 8 [0/49000 (0%)]	Train Loss: 2.008917	Val Loss: 2.099472	Val Acc: 31.5
Train Epoch: 8 [2560/49000 (5%)]	Train Loss: 1.797239	Val Loss: 2.062436	Val Acc: 34.79999923706055
Train Epoch: 8 [5120/49000 (10%)]	Train Loss: 1.925636	Val Loss: 1.996868	Val Acc: 34.599998474121094
Train Epoch: 8 [7680/49000 (16%)]	Train Loss: 1.985173	Val Loss: 2.094947	Val Acc: 31.399999618530273
Train Epoch: 8 [10240/49000 (21%)]	Train Loss: 2.018133	Val Loss: 2.159760	Val Acc: 31.700000762939453
Train Epoch: 8 [12800/49000 (26%)]	Train Loss: 1.858693	Val Loss: 2.167737	Val Acc: 31.899999618530273
Train Epoch: 8 [15360/49000 (31%)]	Train Loss: 2.070707	Val Loss: 2.059371	Val Acc: 31.299999237060547
Train Epoch: 8 [17920/49000 (36%)]	Train Loss: 1.995028	Val Loss: 1.960263	Val Acc: 36.29999923706055
Train Epoch: 8 [20480/49000 (42%)]	Train Loss: 1.877350	Val Loss: 2.094518	Val Acc: 31.799999237060547
Train Epoch: 8 [23040/49000 (47%)]	Train Loss: 1.905018	Val Loss: 1.974674	Val Acc: 36.70000076293945
Train Epoch: 8 [25600/49000 (52%)]	Train Loss: 1.996923	Val Loss: 2.010713	Val Acc: 34.79999923706055
Train Epoch: 8 [28160/49000 (57%)]	Train Loss: 1.987646	Val Loss: 2.047595	Val Acc: 35.599998474121094
Train Epoch: 8 [30720/49000 (62%)]	Train Loss: 2.026265	Val Loss: 2.101650	Val Acc: 35.0
Train Epoch: 8 [33280/49000 (68%)]	Train Loss: 1.911637	Val Loss: 2.046049	Val Acc: 35.70000076293945
Train Epoch: 8 [35840/49000 (73%)]	Train Loss: 1.955627	Val Loss: 2.020405	Val Acc: 34.099998474121094
Train Epoch: 8 [38400/49000 (78%)]	Train Loss: 2.002828	Val Loss: 1.992707	Val Acc: 37.099998474121094
Train Epoch: 8 [40960/49000 (83%)]	Train Loss: 2.021148	Val Loss: 1.998465	Val Acc: 36.0
