Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 3 [1280/49000 (3%)]	Train Loss: 0.000296	Val Loss: 0.001531	Val Acc: 100
Train Epoch: 3 [2560/49000 (5%)]	Train Loss: 0.000157	Val Loss: 0.001243	Val Acc: 100
Train Epoch: 3 [3840/49000 (8%)]	Train Loss: 0.000211	Val Loss: 0.001097	Val Acc: 100
Train Epoch: 3 [5120/49000 (10%)]	Train Loss: 0.000218	Val Loss: 0.001728	Val Acc: 100
Train Epoch: 3 [6400/49000 (13%)]	Train Loss: 0.000257	Val Loss: 0.000530	Val Acc: 100
Train Epoch: 3 [7680/49000 (16%)]	Train Loss: 0.000223	Val Loss: 0.000652	Val Acc: 100
Train Epoch: 3 [8960/49000 (18%)]	Train Loss: 0.000292	Val Loss: 0.000843	Val Acc: 100
Train Epoch: 3 [10240/49000 (21%)]	Train Loss: 0.000129	Val Loss: 0.001058	Val Acc: 100
Train Epoch: 3 [11520/49000 (23%)]	Train Loss: 0.000553	Val Loss: 0.001173	Val Acc: 100
Train Epoch: 3 [12800/49000 (26%)]	Train Loss: 0.000183	Val Loss: 0.000739	Val Acc: 100
Train Epoch: 3 [14080/49000 (29%)]	Train Loss: 0.001951	Val Loss: 0.000829	Val Acc: 100
Train Epoch: 3 [15360/49000 (31%)]	Train Loss: 0.000148	Val Loss: 0.000847	Val Acc: 100
Train Epoch: 3 [16640/49000 (34%)]	Train Loss: 0.000381	Val Loss: 0.000950	Val Acc: 100
Train Epoch: 3 [17920/49000 (37%)]	Train Loss: 0.000717	Val Loss: 0.000679	Val Acc: 100
Train Epoch: 3 [19200/49000 (39%)]	Train Loss: 0.000256	Val Loss: 0.000772	Val Acc: 100
Train Epoch: 3 [20480/49000 (42%)]	Train Loss: 0.000485	Val Loss: 0.001107	Val Acc: 100
Train Epoch: 3 [21760/49000 (44%)]	Train Loss: 0.000184	Val Loss: 0.001082	Val Acc: 100
Train Epoch: 3 [23040/49000 (47%)]	Train Loss: 0.000235	Val Loss: 0.000837	Val Acc: 100
Train Epoch: 3 [24320/49000 (50%)]	Train Loss: 0.000971	Val Loss: 0.000532	Val Acc: 100
Train Epoch: 3 [25600/49000 (52%)]	Train Loss: 0.000144	Val Loss: 0.000889	Val Acc: 100
Train Epoch: 3 [26880/49000 (55%)]	Train Loss: 0.000179	Val Loss: 0.001067	Val Acc: 100
Train Epoch: 3 [28160/49000 (57%)]	Train Loss: 0.000339	Val Loss: 0.000600	Val Acc: 100
Train Epoch: 3 [29440/49000 (60%)]	Train Loss: 0.000125	Val Loss: 0.000732	Val Acc: 100
Train Epoch: 3 [30720/49000 (63%)]	Train Loss: 0.000114	Val Loss: 0.000609	Val Acc: 100
Train Epoch: 3 [32000/49000 (65%)]	Train Loss: 0.000300	Val Loss: 0.000433	Val Acc: 100
Train Epoch: 3 [33280/49000 (68%)]	Train Loss: 0.000132	Val Loss: 0.000750	Val Acc: 100
Train Epoch: 3 [34560/49000 (70%)]	Train Loss: 0.000143	Val Loss: 0.000557	Val Acc: 100
Train Epoch: 3 [35840/49000 (73%)]	Train Loss: 0.000224	Val Loss: 0.000330	Val Acc: 100
Train Epoch: 3 [37120/49000 (76%)]	Train Loss: 0.000255	Val Loss: 0.000991	Val Acc: 100
Train Epoch: 3 [38400/49000 (78%)]	Train Loss: 0.000266	Val Loss: 0.000588	Val Acc: 100
Train Epoch: 3 [39680/49000 (81%)]	Train Loss: 0.000197	Val Loss: 0.000764	Val Acc: 100
Train Epoch: 3 [40960/49000 (84%)]	Train Loss: 0.000147	Val Loss: 0.000565	Val Acc: 100
Train Epoch: 3 [42240/49000 (86%)]	Train Loss: 0.000957	Val Loss: 0.000714	Val Acc: 100
Train Epoch: 3 [43520/49000 (89%)]	Train Loss: 0.000096	Val Loss: 0.000581	Val Acc: 100
Train Epoch: 3 [44800/49000 (91%)]	Train Loss: 0.000138	Val Loss: 0.000800	Val Acc: 100
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: 0.000173	Val Loss: 0.000795	Val Acc: 100
Train Epoch: 3 [47360/49000 (97%)]	Train Loss: 0.000179	Val Loss: 0.000975	Val Acc: 100
Train Epoch: 3 [48640/49000 (99%)]	Train Loss: 0.000487	Val Loss: 0.000454	Val Acc: 100
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 0.011976	Val Loss: 0.000599	Val Acc: 100
Train Epoch: 4 [1280/49000 (3%)]	Train Loss: 0.000356	Val Loss: 0.000378	Val Acc: 100
Train Epoch: 4 [2560/49000 (5%)]	Train Loss: 0.000115	Val Loss: 0.000729	Val Acc: 100
Train Epoch: 4 [3840/49000 (8%)]	Train Loss: 0.000147	Val Loss: 0.000762	Val Acc: 100
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 0.000224	Val Loss: 0.000473	Val Acc: 100
Train Epoch: 4 [6400/49000 (13%)]	Train Loss: 0.000131	Val Loss: 0.000403	Val Acc: 100
Train Epoch: 4 [7680/49000 (16%)]	Train Loss: 0.000135	Val Loss: 0.000649	Val Acc: 100
Train Epoch: 4 [8960/49000 (18%)]	Train Loss: 0.000201	Val Loss: 0.000590	Val Acc: 100
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 0.000116	Val Loss: 0.000848	Val Acc: 100
Train Epoch: 4 [11520/49000 (23%)]	Train Loss: 0.000254	Val Loss: 0.000499	Val Acc: 100
Train Epoch: 4 [12800/49000 (26%)]	Train Loss: 0.000180	Val Loss: 0.000490	Val Acc: 100
Train Epoch: 4 [14080/49000 (29%)]	Train Loss: 0.000445	Val Loss: 0.000569	Val Acc: 100
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 0.000491	Val Loss: 0.000518	Val Acc: 100
Train Epoch: 4 [16640/49000 (34%)]	Train Loss: 0.000211	Val Loss: 0.000852	Val Acc: 100
Train Epoch: 4 [17920/49000 (37%)]	Train Loss: 0.000148	Val Loss: 0.000814	Val Acc: 100
Train Epoch: 4 [19200/49000 (39%)]	Train Loss: 0.000179	Val Loss: 0.000494	Val Acc: 100
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 0.000186	Val Loss: 0.000640	Val Acc: 100
Train Epoch: 4 [21760/49000 (44%)]	Train Loss: 0.000132	Val Loss: 0.000701	Val Acc: 100
Train Epoch: 4 [23040/49000 (47%)]	Train Loss: 0.000215	Val Loss: 0.000787	Val Acc: 100
Train Epoch: 4 [24320/49000 (50%)]	Train Loss: 0.000345	Val Loss: 0.000604	Val Acc: 100
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 0.000230	Val Loss: 0.000785	Val Acc: 100
Train Epoch: 4 [26880/49000 (55%)]	Train Loss: 0.000423	Val Loss: 0.000696	Val Acc: 100
Train Epoch: 4 [28160/49000 (57%)]	Train Loss: 0.000504	Val Loss: 0.000720	Val Acc: 100
Train Epoch: 4 [29440/49000 (60%)]	Train Loss: 0.000098	Val Loss: 0.000686	Val Acc: 100
Train Epoch: 4 [30720/49000 (63%)]	Train Loss: 0.000575	Val Loss: 0.000572	Val Acc: 100
Train Epoch: 4 [32000/49000 (65%)]	Train Loss: 0.000330	Val Loss: 0.000574	Val Acc: 100
Train Epoch: 4 [33280/49000 (68%)]	Train Loss: 0.000126	Val Loss: 0.000611	Val Acc: 100
Train Epoch: 4 [34560/49000 (70%)]	Train Loss: 0.000146	Val Loss: 0.000736	Val Acc: 100
Train Epoch: 4 [35840/49000 (73%)]	Train Loss: 0.000120	Val Loss: 0.000618	Val Acc: 100
Train Epoch: 4 [37120/49000 (76%)]	Train Loss: 0.000378	Val Loss: 0.000330	Val Acc: 100
Train Epoch: 4 [38400/49000 (78%)]	Train Loss: 0.000383	Val Loss: 0.000533	Val Acc: 100
Train Epoch: 4 [39680/49000 (81%)]	Train Loss: 0.000077	Val Loss: 0.000417	Val Acc: 100
Train Epoch: 4 [40960/49000 (84%)]	Train Loss: 0.000143	Val Loss: 0.000664	Val Acc: 100
Train Epoch: 4 [42240/49000 (86%)]	Train Loss: 0.000141	Val Loss: 0.000547	Val Acc: 100
Train Epoch: 4 [43520/49000 (89%)]	Train Loss: 0.000241	Val Loss: 0.000634	Val Acc: 100
Train Epoch: 4 [44800/49000 (91%)]	Train Loss: 0.000309	Val Loss: 0.000555	Val Acc: 100
Train Epoch: 4 [46080/49000 (94%)]	Train Loss: 0.000092	Val Loss: 0.000769	Val Acc: 100
Train Epoch: 4 [47360/49000 (97%)]	Train Loss: 0.000091	Val Loss: 0.000745	Val Acc: 100
Train Epoch: 4 [48640/49000 (99%)]	Train Loss: 0.000261	Val Loss: 0.000740	Val Acc: 100
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 0.020096	Val Loss: 0.000570	Val Acc: 100
Train Epoch: 5 [1280/49000 (3%)]	Train Loss: 0.000234	Val Loss: 0.000649	Val Acc: 100
Train Epoch: 5 [2560/49000 (5%)]	Train Loss: 0.000175	Val Loss: 0.000616	Val Acc: 100
Train Epoch: 5 [3840/49000 (8%)]	Train Loss: 0.000504	Val Loss: 0.000521	Val Acc: 100
Train Epoch: 5 [5120/49000 (10%)]	Train Loss: 0.000218	Val Loss: 0.000541	Val Acc: 100
Train Epoch: 5 [6400/49000 (13%)]	Train Loss: 0.000204	Val Loss: 0.000581	Val Acc: 100
Train Epoch: 5 [7680/49000 (16%)]	Train Loss: 0.000287	Val Loss: 0.000574	Val Acc: 100
Train Epoch: 5 [8960/49000 (18%)]	Train Loss: 0.000261	Val Loss: 0.000380	Val Acc: 100
Train Epoch: 5 [10240/49000 (21%)]	Train Loss: 0.000081	Val Loss: 0.000448	Val Acc: 100
Train Epoch: 5 [11520/49000 (23%)]	Train Loss: 0.000074	Val Loss: 0.000517	Val Acc: 100
Train Epoch: 5 [12800/49000 (26%)]	Train Loss: 0.000231	Val Loss: 0.000492	Val Acc: 100
Train Epoch: 5 [14080/49000 (29%)]	Train Loss: 0.000195	Val Loss: 0.000672	Val Acc: 100
Train Epoch: 5 [15360/49000 (31%)]	Train Loss: 0.000099	Val Loss: 0.000329	Val Acc: 100
Train Epoch: 5 [16640/49000 (34%)]	Train Loss: 0.000206	Val Loss: 0.000590	Val Acc: 100
Train Epoch: 5 [17920/49000 (37%)]	Train Loss: 0.000281	Val Loss: 0.000485	Val Acc: 100
Train Epoch: 5 [19200/49000 (39%)]	Train Loss: 0.000181	Val Loss: 0.000545	Val Acc: 100
Train Epoch: 5 [20480/49000 (42%)]	Train Loss: 0.000126	Val Loss: 0.000462	Val Acc: 100
Train Epoch: 5 [21760/49000 (44%)]	Train Loss: 0.000398	Val Loss: 0.000369	Val Acc: 100
Train Epoch: 5 [23040/49000 (47%)]	Train Loss: 0.000153	Val Loss: 0.000573	Val Acc: 100
